classic_false_reassurance_mean,engine_false_reassurance_mean,denom_only_false_reassurance_mean,coverage_engine_mean,convergence_mean_abs_diff,n_replications,topic_id,label,coverage_arb,coverage_delta,coverage_classic,width_arb,width_delta,width_classic,regret_classic,regret_delta,regret_arb,contract_hash
0.0,0.0016666666666666666,0.17166666666666663,1.0,0.027406579175193287,50,T01,Clean Control,1.0,1.0,1.0,0.812105131833194,0.7606472046555925,0.7504319749785491,0.19416666666666665,0.095,0.12249999999999998,46165b2862665ba1
0.0,0.0016666666666666666,0.22499999999999998,1.0,0.054415967064649184,50,T02,Moderate Publication Bias,1.0,1.0,1.0,0.8574253345674634,0.7554283335467664,0.7805068140241153,0.19333333333333336,0.13833333333333334,0.1908333333333333,43a0c05682063d13
0.0,0.0016666666666666666,0.15499999999999997,1.0,0.04936603655681404,50,T03,High Publication Bias,1.0,1.0,0.9948484848484849,0.8597579726488608,0.7445946747143255,0.7506205245749701,0.18416666666666665,0.12666666666666665,0.20916666666666664,2641d845421532f0
0.0,0.01,0.33,1.0,0.042339326903272044,50,T04,Endpoint-Selective Reporting,1.0,1.0,0.9966666666666667,0.8465037957240702,0.7452270196309556,0.7934209976168406,0.1775,0.12999999999999998,0.22583333333333333,ac7cb6d1edebcde3
0.0,0.0,0.315,1.0,0.04756584773487611,50,T05,Industry-Dominated,1.0,1.0,0.9966666666666667,0.7817902878461401,0.7021073970575,0.7051106155707704,0.1691666666666667,0.12833333333333333,0.1733333333333333,04b1efdf00afcbdc
0.0,0.01,0.25,1.0,0.10215929600789096,50,T06,Small Trials,1.0,1.0,1.0,1.7373961358005676,1.3955163741345318,1.760251852414467,0.25666666666666665,0.14166666666666664,0.18666666666666665,ccf15951d02839ab
0.003333333333333333,0.006666666666666666,0.25666666666666665,1.0,0.07430625422024313,50,T07,High Heterogeneity,1.0,1.0,0.9835757575757575,1.2792794318910632,1.070705367302185,0.8637807915416895,0.1875,0.11000000000000001,0.17250000000000004,9a9e9f98a078ce4b
0.0,0.006666666666666666,0.13666666666666666,1.0,0.04546132321593991,50,T08,Reversal Stress,1.0,1.0,0.9941818181818181,0.8511731481646703,0.7337950403439463,0.7422547917886171,0.09916666666666667,0.08166666666666667,0.10249999999999998,1c3398e8c4c17240
0.0,0.0016666666666666666,0.415,1.0,0.0505354983893574,50,T09,Discontinuous Truth,1.0,1.0,0.9981818181818182,0.800671068016553,0.7152520523958021,0.7628660459580232,0.095,0.06999999999999999,0.08833333333333333,da4af1bc20bc4138
0.0,0.0016666666666666666,0.2733333333333333,1.0,0.06937215662728967,50,T10,Low Trial Count,1.0,1.0,1.0,0.8942080269044023,0.7982378033083852,1.0313608207533453,0.18166666666666667,0.055,0.07666666666666666,8a2ec377a081ebe7
0.0,0.0016666666666666666,0.01833333333333333,1.0,0.04239085204021596,50,T11,Strong Benefit Signal,1.0,1.0,0.9983333333333333,0.7832195884697849,0.7001681321896462,0.6821310904305258,0.16166666666666665,0.03166666666666666,0.13083333333333333,48dc1a45fccf7f93
0.0,0.003333333333333333,0.3283333333333333,1.0,0.06551259512534979,50,T12,Near-Null Effect,1.0,1.0,0.998,0.7970115028326374,0.6931503999457265,0.7557459657676969,0.17333333333333328,0.13833333333333334,0.16749999999999995,d55d9e96a724ab31
